"exercise_id","assignment_id","SHA2(CONCAT(vs.user_id+'secret'), 224)","response","title","description","task_json"
"50712","7252","dfd5f9139a820075df69d7895015360b76d0360f3d4b77a845689614","[""besser mit den ben\u00f6tigten werten umgehen k\u00f6nnen\r\nSpeicher sparen""]","Funktion von Datentypen","Was ist die Funktion von Datentypen?","{""answers"":[{""text"":""Datentypen dienen zur unterschiedlichen semantischen Interpretation von bin\u00e4ren Werten."",""score"":1}]}"
"50713","7252","dfd5f9139a820075df69d7895015360b76d0360f3d4b77a845689614","[""ein beliebiges zeichen inkl, Ziffern Buchstaben sonderzeichen...""]","Datentyp Char","Was repräsentiert der Datentyp Char?","{""answers"":[{""text"":""Der Datentyp Char repr\u00e4sentiert einzelne Zeichen."",""score"":1}]}"
"50714","7252","dfd5f9139a820075df69d7895015360b76d0360f3d4b77a845689614","[""""]","Definition Typecasting","Was versteht man unter Typecasting?","{""answers"":[{""text"":""Darunter versteht man die Umwandlung des Datentyps eines bestimmten Wertes in einen anderen."",""score"":1}]}"
"50715","7252","dfd5f9139a820075df69d7895015360b76d0360f3d4b77a845689614","[""weil a und b in ziffern umgewandelt werden vgl ascii tabelle""]","Addition von Chars","Warum ergibt die Operation ‘a’ + ‘b’ 195 und nicht “ab”?","{""answers"":[{""text"":""Chars sind intern als 16 bit Bin\u00e4rzahlen repr\u00e4sentiert. Bei einer Rechenoperation mit Chars werden diese als Integer interpretiert."",""score"":1}]}"
"50716","7252","dfd5f9139a820075df69d7895015360b76d0360f3d4b77a845689614","[""die anf\u00fchrungszeihen sorgen daf\u00fcr dass der wert und nicht die zifferndarstellung betrachtet wird""]","Addition von Strings","Warum ergibt die Operation “a” + “b” “ab” und nicht 195?","{""answers"":[{""text"":""Strings sind intern als Zeichenketten gespeichert. Der \u2018+\u2019 Operator vollf\u00fchrt also eine Verkettung der einzelnen Ketten."",""score"":1}]}"
"50717","7252","dfd5f9139a820075df69d7895015360b76d0360f3d4b77a845689614","[""stringvariablen sind zeichenketten, primitive datentypen sind zifernketten""]","Wert von Objecten vs primitiven Datentypen","Was ist der konzeptuelle Unterschied zwischen dem Wert einer String Variablen und dem eines primitiven Datentyps?","{""answers"":[{""text"":""Die Variable eines primitiven Datentyps speichert den Inhalt an sich. Die Variable eines Strings, also eines Objektes, hat als Wert eine Referenz auf den eigentlichen Inhalt im Speicher."",""score"":1}]}"
"50718","7252","dfd5f9139a820075df69d7895015360b76d0360f3d4b77a845689614","[""doppelte gleichzeichen vergleichen die werte bzw referenzen zweier datentypen""]","Funktion vom Vergleichsoperator `==`?","Was macht der Vergleichsoperator `==` ?","{""answers"":[{""text"":""Er vergleicht den Wert von Variablen."",""score"":1}]}"
"50719","7252","dfd5f9139a820075df69d7895015360b76d0360f3d4b77a845689614","[""sie verweisen auf unterschiedliche referenzen""]","Vergleichen von Strings","Wie ist es möglich, dass inhaltsgleiche Strings vom Vergleichsoperator `==` als ungleich bewertet werden?","{""answers"":[{""text"":""Beim Vergleichen von Strings mit dem Vergleichsoperator `==` werden die Referenzen verglichen und nicht die Zeichenketten an sich."",""score"":1}]}"
"50720","7252","dfd5f9139a820075df69d7895015360b76d0360f3d4b77a845689614","[""die referenzen werden gleich gesetzt, \u00e4ndert man nun den wert der einen ndert sich die andere automatisch mit""]","Wertzuweisung zwischen Strings","Was passiert bei der Wertzuweisung von einer String-Variablen zu einer Anderen?","{""answers"":[{""text"":""Die Referenz wird kopiert. Danach zeigen beide String-Variablen auf dieselbe Zeichenkette."",""score"":1}]}"
"50721","7252","dfd5f9139a820075df69d7895015360b76d0360f3d4b77a845689614","[""Es wird eine neue Referenz erstellt""]","Keyword `new`","Was passiert bei der Anweisung new String()?","{""answers"":[{""text"":""Das Keyword `new` erzeugt einen neuen, leeren String im Speicher und gibt anschlie\u00dfend die Referenz auf diesen String zur\u00fcck."",""score"":1}]}"
"50722","7252","dfd5f9139a820075df69d7895015360b76d0360f3d4b77a845689614","[""ein array ist ein Feld in dem Daten gespeichert werden""]","Datenstruktur Array","Was ist ein Array?","{""answers"":[{""text"":""Ein Array ist eine Datenstruktur, die eine Sequenz von Variablen gleichen Typs enth\u00e4lt."",""score"":1}]}"
"50723","7252","dfd5f9139a820075df69d7895015360b76d0360f3d4b77a845689614","[""die elemente werden mit leerzeichen oder kommata getrennt eingegeben. der zugriff erfolgt \u00fcber die position, als die l\u00e4nge des arrays""]","Array Zugriff","Wodurch wird gewährleistet, dass in einem Array auf einzelne Element zugegriffen werden kann? Wie erfolgt der Zugriff?","{""answers"":[{""text"":""Die einzelnen Eintr\u00e4ge sind durchnummeriert. Man kann durch die Angabe ihres Indices auf sie zugreifen."",""score"":1}]}"
"50724","7253","dfd5f9139a820075df69d7895015360b76d0360f3d4b77a845689614","[""als laufzeit in der o notation""]","Zeitkomplexität von Algorithmen","Wie wird die Zeitkomplexität von Algorithmen angegeben?","{""answers"":[{""text"":""Die Zeitkomplexit\u00e4t wird \u00fcber die Anzahl an ben\u00f6tigten Rechenschritten in Abh\u00e4ngigkeit von der Eingabegr\u00f6\u00dfe angegeben."",""score"":1}]}"
"50725","7253","dfd5f9139a820075df69d7895015360b76d0360f3d4b77a845689614","[""""]","Definition Rechenschritt","Wie ist ein Rechenschritt definiert?","{""answers"":[{""text"":""Ein einzelner Rechenschritt hat einen Zeitaufwand von konstanter Gr\u00f6\u00dfe."",""score"":1}]}"
"50726","7253","dfd5f9139a820075df69d7895015360b76d0360f3d4b77a845689614","[""strings selber k\u00f6nnen nochmal unterschiedlich gro\u00df sein und damit unterschiedlich viele Rechenschritte brauchen""]","Komplexität Sortieren von Strings","Warum ist die Laufzeit für das Sortieren von Strings im Gegensatz zu Integern nicht allein von der Anzahl der zu sortierenden Elemente abhängig?","{""answers"":[{""text"":""Weil die L\u00e4nge eines Strings theoretisch keine obere Schranke besitzt. Die Laufzeit f\u00fcr den Vergleich von zwei Strings ist daher nicht konstant, sondern von der L\u00e4nge der Strings abh\u00e4ngig."",""score"":1}]}"
"50727","7253","dfd5f9139a820075df69d7895015360b76d0360f3d4b77a845689614","[""eine sehr grob abgesch\u00e4tze laufzeit, die haupts\u00e4chlich zum vergleich zwischen laufzeiten verschiedener programme dient. sie ist unabh\u00e4ngig von der rechnerleistung und sonstigen \""Zeitfaktoren\""""]","O-Notation","Was wird über die O-Notation angegeben?","{""answers"":[{""text"":""Die O-Notation beschreibt eine obere Schranke f\u00fcr die Wachstumsrate einer Funktion."",""score"":1}]}"
"50728","7253","dfd5f9139a820075df69d7895015360b76d0360f3d4b77a845689614","[""Das eine konstante Zeit zur Durchf\u00fchrung ben\u00f6tigt wird, unabh\u00e4ngig von der Eingabe""]","O(1)","Was bedeutet eine Laufzeitangabe von O(1)?","{""answers"":[{""text"":""O(1) bedeutet, dass der Algorithmus unabh\u00e4ngig von der Eingabe eine konstante Anzahl an Rechenschritten ben\u00f6tigt."",""score"":1}]}"
"50729","7253","dfd5f9139a820075df69d7895015360b76d0360f3d4b77a845689614","[""Sie ist unabh\u00e4ngig von Betriebssystem, Prozessor, Hintergrundprogrammen usw.""]","Rechenschritte vs Sekunden","Was ist der Vorteil einer Angabe in Rechenschritten gegenüber einer Angabe in Sekunden oder der Zahl der Maschinenbefehle?","{""answers"":[{""text"":""Die Angabe in Rechenschritten ist unabh\u00e4ngig von der jeweiligen Umsetzung in einer Programmiersprachen und den Hardware Eigenschaften eines Computers wie Taktfrequenzen und Prozessorarchitekturen."",""score"":1}]}"
"50730","7253","dfd5f9139a820075df69d7895015360b76d0360f3d4b77a845689614","[""alle elemente werden nacheinander gepr\u00fcft bis das gesuchte element gefunden ist oder keine elemente mehr \u00fcbrig sind""]","Lineare Suche","Beschreibe das Vorgehen bei der lineare Suche.","{""answers"":[{""text"":""Jedes Element der zu durchsuchenden Menge wird der Reihe nach mit dem gesuchten Element verglichen."",""score"":1}]}"
